epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,3217.7,0.31795,0.23133,0.85812,0.96018,0.9647,0.96684,0.79472,0.51162,0.2915,0.85477,0.00014061,0.00014061,0.00014061
177,3239.99,0.39337,0.32,0.88747,0.9613,0.96025,0.96684,0.79627,0.50823,0.29467,0.85455,0.000138928,0.000138928,0.000138928
178,3262.12,0.33678,0.24869,0.85815,0.96525,0.95196,0.97089,0.80376,0.50851,0.29895,0.85338,0.000137246,0.000137246,0.000137246
179,3284.26,0.33904,0.2654,0.85601,0.96397,0.95932,0.96684,0.79837,0.51285,0.29944,0.85413,0.000135564,0.000135564,0.000135564
180,3306.29,0.33318,0.24329,0.85543,0.95458,0.9463,0.96542,0.79548,0.5149,0.29703,0.8552,0.000133881,0.000133881,0.000133881
181,3328.27,0.34017,0.24921,0.86358,0.96212,0.9426,0.96963,0.79711,0.50892,0.29418,0.85377,0.000132199,0.000132199,0.000132199
182,3349.96,0.31825,0.23822,0.85649,0.967,0.94245,0.96963,0.79704,0.51124,0.29182,0.85569,0.000130517,0.000130517,0.000130517
183,3371.97,0.32277,0.24701,0.85504,0.96584,0.94235,0.96963,0.79442,0.51323,0.29274,0.85601,0.000128835,0.000128835,0.000128835
184,3393.64,0.32589,0.24848,0.86518,0.96353,0.94473,0.96997,0.80154,0.50736,0.29259,0.85466,0.000127153,0.000127153,0.000127153
185,3415.22,0.30765,0.24208,0.85882,0.96171,0.94368,0.96997,0.79659,0.51628,0.28961,0.85452,0.00012547,0.00012547,0.00012547
186,3436.87,0.3407,0.27364,0.86192,0.96036,0.94394,0.96952,0.79524,0.5202,0.28984,0.85522,0.000123788,0.000123788,0.000123788
187,3458.67,0.3168,0.23195,0.85814,0.95338,0.95351,0.96997,0.79566,0.51866,0.29299,0.85508,0.000122106,0.000122106,0.000122106
188,3480.8,0.32274,0.23198,0.85575,0.9546,0.95195,0.9663,0.79995,0.51575,0.29278,0.85275,0.000120424,0.000120424,0.000120424
