epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,367.948,0.39138,0.28873,0.87723,0.92924,0.95617,0.96319,0.79136,0.52421,0.34563,0.86452,0.000366029,0.000366029,0.000366029
43,385.965,0.40517,0.30544,0.88614,0.93022,0.9601,0.96643,0.80233,0.5205,0.33762,0.867,0.000364346,0.000364346,0.000364346
44,403.973,0.41116,0.31026,0.89059,0.94127,0.95588,0.96591,0.80731,0.51675,0.33209,0.87126,0.000362664,0.000362664,0.000362664
45,422.005,0.40259,0.29043,0.87552,0.92791,0.96101,0.96514,0.79696,0.52166,0.33673,0.87054,0.000360982,0.000360982,0.000360982
46,440.043,0.40906,0.29933,0.886,0.93153,0.96453,0.95991,0.79653,0.51239,0.34286,0.86662,0.0003593,0.0003593,0.0003593
47,458.068,0.42618,0.32088,0.88044,0.93406,0.95993,0.95254,0.78683,0.52469,0.33933,0.87108,0.000357618,0.000357618,0.000357618
48,476.079,0.40854,0.30228,0.89397,0.93592,0.95518,0.95626,0.78114,0.53083,0.33512,0.8724,0.000355935,0.000355935,0.000355935
49,494.106,0.41799,0.30321,0.88063,0.93772,0.95314,0.95778,0.79373,0.51111,0.33,0.86715,0.000354253,0.000354253,0.000354253
50,512.104,0.39789,0.28459,0.87733,0.93807,0.94716,0.9533,0.78948,0.50271,0.33255,0.86664,0.000352571,0.000352571,0.000352571
51,530.138,0.42848,0.31041,0.88654,0.93572,0.94746,0.95344,0.78456,0.50695,0.3314,0.86869,0.000350889,0.000350889,0.000350889
52,548.165,0.39523,0.30262,0.87923,0.93439,0.94719,0.95295,0.79731,0.50279,0.34609,0.87031,0.000349206,0.000349206,0.000349206
53,566.174,0.38421,0.28975,0.87848,0.93517,0.94649,0.95285,0.7853,0.51632,0.34822,0.86954,0.000347524,0.000347524,0.000347524
54,584.201,0.4131,0.29857,0.88583,0.93481,0.94759,0.95331,0.78634,0.51131,0.34585,0.86728,0.000345842,0.000345842,0.000345842
55,602.247,0.39088,0.28768,0.885,0.93588,0.94783,0.95548,0.78161,0.51447,0.34177,0.86822,0.00034416,0.00034416,0.00034416
56,620.231,0.38953,0.28463,0.87983,0.93652,0.94771,0.95275,0.78731,0.51777,0.33872,0.86616,0.000342478,0.000342478,0.000342478
57,638.273,0.39743,0.27871,0.86613,0.93599,0.94613,0.95684,0.79496,0.51147,0.34056,0.86447,0.000340795,0.000340795,0.000340795
58,656.292,0.39435,0.29342,0.88114,0.93517,0.94618,0.95481,0.78985,0.50891,0.34035,0.86221,0.000339113,0.000339113,0.000339113
59,674.318,0.40367,0.29646,0.87915,0.93657,0.94622,0.95761,0.78032,0.51684,0.34568,0.8605,0.000337431,0.000337431,0.000337431
60,692.345,0.38739,0.28091,0.88226,0.93831,0.94552,0.95903,0.78072,0.51198,0.33912,0.86408,0.000335749,0.000335749,0.000335749
61,710.367,0.39525,0.29824,0.88961,0.93983,0.94437,0.96638,0.79877,0.51389,0.33069,0.86712,0.000334066,0.000334066,0.000334066
62,728.392,0.39337,0.29424,0.87938,0.93359,0.95772,0.95982,0.78923,0.52012,0.33116,0.86781,0.000332384,0.000332384,0.000332384
63,746.416,0.37795,0.27844,0.87661,0.93631,0.95396,0.95633,0.78714,0.50338,0.3307,0.86805,0.000330702,0.000330702,0.000330702
64,764.436,0.37167,0.26927,0.8707,0.93479,0.95524,0.9602,0.79404,0.49081,0.33229,0.86629,0.00032902,0.00032902,0.00032902
65,782.449,0.38041,0.28119,0.87515,0.93284,0.95441,0.95998,0.79165,0.48583,0.3308,0.86321,0.000327337,0.000327337,0.000327337
66,800.466,0.37255,0.26616,0.87459,0.93458,0.95434,0.96492,0.79628,0.49566,0.32617,0.86184,0.000325655,0.000325655,0.000325655
67,818.502,0.37434,0.26761,0.87826,0.93802,0.95468,0.96809,0.79739,0.50581,0.3237,0.861,0.000323973,0.000323973,0.000323973
68,836.519,0.37325,0.27412,0.86477,0.9468,0.9577,0.96825,0.79976,0.49527,0.3197,0.86005,0.000322291,0.000322291,0.000322291
69,854.552,0.40355,0.30516,0.88285,0.94747,0.9603,0.96855,0.79601,0.49706,0.32064,0.86259,0.000320609,0.000320609,0.000320609
70,872.591,0.35535,0.25859,0.87256,0.93989,0.96115,0.96426,0.79761,0.49529,0.31923,0.86318,0.000318926,0.000318926,0.000318926
